Stop_Code_LBSL,Bus_Stop_Code,Naptan_Atco,Location_Easting,Location_Northing,Heading,Stop_Area,Virtual_Bus_Stop
20546,77776,490008974E,537203,191829,359,VE16,0
20547,76252,490014789N,537200,171141,12,4R02,0
20548,49109,490006533P,537200,174416,267,G808,0
20575,51360,490014594E,537198,191007,78,VE09,0
2058,48288,490012648L,537194,182672,69,BE08,0
20581,52890,490011358N,537192,175455,304,NB08,0
20582,75202,490011358S,537188,175586,191,NB08,0
20583,54538,490011623P,537183,186703,234,CJ12,0
20588,74530,490006160S,537181,162683,139,FE14,0
20589,53816,490007996N,537180,188689,18,XR07,0
2059,76239,490012648K,537180,182641,250,BE08,0
20590,72898,490007996K,537177,188644,202,XR07,0
20591,53802,490005528Y,537177,179269,60,7903,0
20592,73503,490005974N,537174,185918,327,8F04,0
20594,74562,490013883N,537174,197073,14,UM05,0
20595,74065,490006269S,537173,196841,185,UM05,0
20598,57970,490009674E,537172,173781,67,EM01,0
20599,52535,490006164A,537171,169273,17,L716,0
206,53559,490000023K,537170,180988,176,1901,0
2060,55057,490005481CL,537169,189516,319,T709,0
20600,51109,490015361E,537166,169786,45,LF12,0
20601,53215,490015361W,537165,169796,225,LF12,0
20607,54827,490003807E,537165,165875,56,J021,0
20608,48405,490003807W,537165,165842,234,J021,0
20616,77007,490008633N,537162,160076,301,H804,0
20617,77313,490008633E,537159,159997,120,H804,0
20618,47404,490001205E,537157,172882,235,GC04,0
20619,58268,490006475B,537157,182933,142,0U03,0
2062,56772,490004206J,537155,182915,245,BF04,0
20623,71093,490009699N,537153,171105,357,MB02,0
20624,72265,490009699S,537152,171011,161,MB02,0
20626,54312,490013650W1,537150,168772,233,L731,0
20627,73033,490007510A,537147,178275,255,GQ05,0
20628,73246,490008275D,537146,181596,99,1A01,0
20638,51695,490007278N,537146,181069,9,QF01,0
20639,52130,490007278S,537140,180991,190,QF01,0
20643,56097,40004405156A,537137,163381,236,0Z05,0
20644,48735,490011989E,537132,162314,49,H121,0
20647,76301,490010780N,537130,185262,309,VQ15,0
20648,49380,490006973S,537129,185207,142,VQ15,0
20649,48152,490007755W,537127,164071,254,J311,0
20650,50193,490007755E,537126,164102,72,J311,0
20651,54125,490003045X,537125,174691,267,5N06,0
20654,75618,490012984L,537122,185405,140,RN05,0
20655,56967,490010474N,537121,176166,351,6F02,0
2066,76906,490009695MA,537120,183249,42,A801,0
20662,50885,490012394W,537119,168505,294,K416,0
20667,71566,490005368S1,537119,189858,133,XJ03,0
20668,48975,490009073W,537118,186835,234,YJ05,0
20669,74596,490009073E,537115,186923,54,YJ05,0
2067,54140,490003025W,537113,183535,219,A802,0
20671,54074,490010075N,537112,166851,314,K802,0
20672,76421,490010075S,537109,166902,126,K802,0
20674,47993,490000146D,537107,182555,67,BE07,0
20677,58406,490005640G,537106,159483,9,H641,0
20678,54401,490009202D,537105,159322,167,H610,0
2068,52083,490003025E,537098,183633,34,A802,0
20682,72209,490005445D,537096,171841,169,MJ07,0
20683,76999,490005445C,537093,171946,336,MJ06,0
20684,71624,490010085N1,537092,182258,14,C410,0
20686,50842,490004167S,537090,178585,126,N908,0
20687,57807,490004167N,537089,178600,306,N908,0
20688,72332,490011136W,537087,159452,240,H604,0
20691,47792,490011304E,537084,168474,49,FR13,0
20692,52751,490011304W,537083,168414,228,FR13,0
20693,53025,490011698V,537069,187125,344,WA21,0
20694,76039,490008536T,537069,187110,162,WA21,0
20696,51788,490012099N,537064,165989,333,HJ04,0
20697,47923,490003900W,537057,186894,274,WB04,0
20698,59238,490005855C17,537053,165288,344,HC21,0
2070,77535,490014215N,537053,183887,38,A804,0
20701,58933,490003063N,537051,180836,24,Q302,0
20702,51105,490003063S,537049,180766,200,Q302,0
20703,76186,490000192D,537047,175191,199,M709,0
20705,72349,490011470W,537044,176532,292,N516,0
20706,48510,490011470E,537042,176553,113,N516,0
20707,59310,490008524N,537041,174508,357,MH18,0
20708,75607,490005102S,537041,174388,168,MH18,0
2071,73522,490009659E,537040,189018,100,TX02,0
20712,49210,490015439M,537038,180256,200,QG05,0
20715,71837,490008804E,537035,168869,129,K414,0
20716,77553,490014529E,537034,166028,10,FF29,0
20718,48071,490012887N,537034,190271,346,VK04,0
2072,77770,490009659W,537033,188989,278,TX02,0
20723,73344,490008713H,537033,184017,141,RC06,0
20726,57671,490015209C,537033,181956,11,C602,0
20727,71685,490005337T,537032,186208,247,D914,0
2073,72654,490008326N,537031,185093,344,DD01,0
2074,56883,490004776S,537031,185025,164,DD01,0
20740,49854,490013783E,537031,191440,69,XL02,0
20741,49748,490013783W,537031,191409,248,XL02,0
20742,77972,490000095B,537030,191580,70,XL01,0
20743,71638,490000095A,537029,191558,248,XL01,0
20744,54575,490003813E,537028,191713,69,XM12,0
20745,52364,490003813W,537026,191682,248,XM12,0
20746,54637,490007648E,537026,191804,68,XM11,0
20747,76473,490007648W,537026,191783,248,XM11,0
20748,57109,490012469E,537025,191917,70,XM09,0
20749,48805,490012469W,537024,191905,249,XM10,0
2075,55408,490001264W,537023,188618,185,9H02,0
20750,49901,490001007AA,537019,169890,139,FM22,0
20751,57687,490003319N,537018,170010,317,FM23,0
2076,48508,490001264OB,537017,188643,5,9H02,0
20760,51671,490004815S,537016,183939,217,A804,0
20761,55220,490003710E,537014,198807,87,UH04,0
20769,55226,490010218U,537012,183467,335,AE08,0
20770,57723,490006360S,537011,183560,74,AE04,0
20773,49899,490003750M,537008,181780,234,A503,0
20775,56015,490006243N,537008,174061,318,2F11,0
20776,52285,490001040J,537004,190082,6,9D03,0
20778,57412,490009140N,536998,185581,349,YM12,0
20785,48194,490004709E,536995,171161,76,MB04,0
20786,47565,490004709W,536994,171132,260,MB04,0
20787,72451,490012605D,536987,185042,332,PW03,0
20788,49647,490012605C,536986,185169,151,PW03,0
20789,72384,490011380N,536986,185532,323,PW02,0
20790,73464,490011380S,536981,185487,141,PW02,0
20791,47632,490000198B,536974,185823,319,PW01,0
20792,55258,490000198A,536969,185797,142,PW01,0
20793,72970,490010348S,536966,186385,142,PS05,0
20794,73957,4.90E+09,536960,185250,100,RH04,0
20796,49664,490016645E,536958,175549,105,EC20,0
20797,49980,490007281E,536955,175900,91,6H02,0
20798,49839,490015157T,536954,175830,216,6H01,0
2080,51507,490012433N,536952,188178,346,9H16,0
20800,56077,490009082S,536951,191211,179,TV07,0
20803,74906,490005524D,536951,182085,201,D001,0
20806,73517,490003232E,536945,182588,68,V009,0
20807,51947,490003232W,536940,182550,251,V009,0
20808,77237,490002050A,536940,162607,330,H314,0
20809,54335,490004843S,536937,162792,150,H324,0
20810,58810,490009536S,536935,184815,179,A909,0
20811,77664,490014548E,536934,189269,87,WE03,0
20813,53036,490007700S,536927,170285,139,FM25,0
20816,73871,490006781N,536921,173640,24,N301,0
20817,54193,490006781S,536918,173551,201,N301,0
20818,77796,490010968W,536918,179799,337,Q101,0
20819,52650,490010968V,536915,179763,158,Q101,0
20821,71046,490000130K2,536913,179575,168,7201,0
20822,73985,490000059E,536911,184660,173,WH01,0
20823,73848,490004517S,536911,166789,164,K807,0
20826,54174,490000129D,536909,182951,56,8503,0
20830,76350,490009040P,536908,181012,326,AK04,0
20831,72884,490012896N,536904,180974,156,AK04,0
20835,76645,2400A019690A,536901,174194,284,Z404,0
20836,50387,490003676S,536900,165882,149,FC01,0
20837,56387,490007954S,536900,166103,143,FG10,0
20840,71891,490010665W,536897,186543,237,RA09,0
20857,55613,490006881H,536896,192149,234,TF02,0
20858,76298,490012811K,536896,192121,173,TF03,0
20859,72642,490010791S,536895,191803,170,TF04,0
20860,55087,490010791N,536894,191776,350,TF04,0
20861,73191,490004580E,536894,191326,98,T901,0
20862,72736,490004580W,536892,191324,285,T901,0
20863,76256,490005595W,536891,191351,253,T902,0
20864,71155,490005595E,536891,191385,72,T902,0
20865,57134,490010722E,536889,191377,70,T903,0
20866,48451,490010722W,536889,191363,261,T903,0
20868,77172,490009977N,536888,162786,68,H221,0
20869,77794,490009977W,536886,162799,249,H221,0
2087,53789,490012839R,536880,186089,4,DA02,0
2088,58050,490003307Q,536878,185881,177,DA01,0
20880,48820,490004842E,536876,183565,94,W604,0
20881,54779,490004842W,536873,183544,281,W604,0
20882,58012,490005455E,536872,195691,94,UA10,0
20883,57834,490005089E,536871,181050,46,7811,0
20884,77030,490013454N,536869,192036,339,XM07,0
20885,77767,490013454W,536859,191969,248,XM08,0
20886,58612,4.90E+10,536855,192434,17,XM14,0
20887,54496,490011505W2,536855,192320,201,XM14,0
20888,76729,490005591E,536854,192684,17,XM15,0
20889,73196,490005591W,536850,192646,197,XM15,0
20890,58413,490004384E,536850,192913,52,RZ34,0
20891,75352,490004384W,536848,192887,232,RZ34,0
20900,71974,490013111S,536847,179550,204,PB12,0
20907,58443,490000250A,536845,188282,246,X502,0
20908,57167,490000112N,536843,181447,334,8018,0
20909,58842,490007280N,536842,193166,323,TQ14,0
2091,47120,490011217N,536841,185530,3,D603,0
20910,47664,490007280S,536838,193143,142,TQ14,0
20914,76925,490005197E,536832,170015,308,FY02,0
20915,76088,490005197S,536830,170151,128,FY02,0
20916,50069,490013920S,536828,164051,173,HD02,0
20917,51664,490000077H,536826,182498,241,8305,0
20919,50746,490006470E,536825,192154,62,U802,0
2092,49191,490011217S,536823,185576,182,D603,0
20927,53391,490013846N,536822,181727,341,BP16,0
20928,52636,490003723E,536820,189283,131,TS08,0
20929,58923,490003723W,536819,189286,307,TS08,0
2093,72041,490001081R,536816,185070,182,D601,0
20931,51886,490009130R,536814,188070,39,YD13,0
20932,54881,490009130N,536813,188085,43,YD13,0
2094,57562,490001081P,536813,185039,3,D601,0
2095,57136,490006929D,536807,184577,183,D405,0
20958,74637,490010007A,536806,190004,70,SA04,0
2096,76076,490006929C,536806,184603,3,D405,0
20968,71753,490000206E,536805,178619,54,7303,0
20969,73650,490006537N,536803,174409,271,G807,0
20970,73442,490003758NA,536801,172067,204,4U05,0
20971,75901,490007157N,536800,188840,2,WD09,0
20972,73414,490009035M,536800,186087,356,D902,0
20974,55657,490009299N,536795,181449,351,6113,0
20975,49434,490013349A,536790,181377,167,6112,0
20976,73564,490011003E,536790,177888,105,0H07,0
20977,47282,490013334S,536786,188311,159,X909,0
20978,71467,490001325F,536785,180137,277,PB01,0
20979,59104,490003740K,536783,169367,219,FJ05,0
20980,57980,490003436BE,536782,169311,328,FM18,0
20981,49252,490003436BG,536782,169257,146,FM18,0
20983,77085,490019703E,536780,180986,34,0.00E+00,0
20985,52200,490012215N,536779,189221,10,XD04,0
20986,76542,490000207A,536777,188863,315,X510,0
20987,49044,490000207B,536776,188836,132,X510,0
20988,57573,490009704D,536773,185789,263,W901,0
20989,72060,490003354N,536773,185480,344,V403,0
20990,52227,490003354S,536771,185431,163,V403,0
20991,54415,490000257N,536768,186382,23,RQ05,0
20992,56687,490000257M,536766,186364,22,RQ05,0
20993,55027,490000257O,536762,186246,232,RQ05,0
20994,74466,490014384J,536762,186192,82,RQ04,0
20995,59380,490006565I,536760,186168,265,RQ04,0
20996,76040,490007063H,536759,186020,214,RQ04,0
20997,57705,490009644G,536753,184880,85,DF17,0
21,59519,490007614N,536750,185489,36,CH03,0
210,50034,490000130K1,536745,179591,348,7201,0
2100,57858,490006170S,536742,183940,177,D401,0
2103,75801,490008893S,536740,183599,177,D109,0
2104,48554,490012445N,536740,183433,3,D108,0
2105,56858,490012445S,536738,183405,183,D107,0
2106,54155,490007155N,536737,183241,353,D107,0
2107,53241,490007154S,536733,183136,184,D106,0
2108,56210,490006726N,536729,182952,10,D106,0
2113,73044,490012391S,536729,181845,198,1G02,0
2114,56259,490011187N,536729,181862,8,1G02,0
2116,56151,490000138L,536728,181632,211,1G01,0
2119,47335,490009037S,536727,181181,194,1K02,0
2120,47304,490009037N,536724,181205,7,1K02,0
2123,74343,490009267D,536723,180692,13,1601,0
21237,51510,490008733N,536721,166288,114,K908,0
2127,52180,490005020N,536715,172911,345,2J01,0
2128,53375,490015419G,536714,170087,39,FM17,0
213,73576,490000130KD,536714,179578,34,7102,0
2131,73404,490010906F,536711,170197,148,FM08,0
2135,75452,490013910H,536708,179888,198,3406,0
2137,48695,490012354N,536708,179454,35,3113,0
2140,57404,490010223N,536708,178683,40,3107,0
2141,56597,490010223S1,536705,178704,220,3107,0
2143,51427,490010925N,536703,178488,32,4602,0
21529,77824,490013112W,536701,167949,280,F003,0
21558,52891,490001037X,536699,168775,161,FR10,0
2156,73164,490012768A,536696,175416,59,4J04,0
2157,49503,490012768H,536695,175458,238,4J05,0
21597,57419,4.90E+10,536693,176488,79,E105,0
21598,51288,490001252C,536693,176487,342,E117,0
21599,53289,490001252B,536690,176537,85,E116,0
216,57002,490000130KC,536690,179536,214,7102,0
21600,71628,490012042W,536686,175978,322,EE22,0
21601,52550,490008409S,536685,175993,142,EE22,0
21602,72010,490014281A,536684,174900,26,EE13,0
21603,54715,490014281B,536683,174894,210,EE13,0
21625,47228,490001013D,536683,176151,80,ED07,0
21626,58730,490001013C,536679,176095,217,ED07,0
2163,55760,490009474SF,536677,174480,31,4K01,0
2164,77729,490009474SE,536676,174499,209,4K01,0
2165,50397,490004870N,536664,174052,1,5904,0
2167,74447,490003175N,536663,173882,1,5903,0
2168,54413,490003175S,536659,173872,181,5903,0
21697,58572,4.90E+09,536658,175344,189,ED01,0
2171,48020,490006209N,536656,172997,25,5A02,0
2172,55694,490006209K,536654,173039,208,5A02,0
2175,76120,490013949N,536653,172681,17,5A01,0
2176,76373,490013949S,536652,172712,196,5A01,0
2179,56462,490009484N,536652,172103,31,5F02,0
21790,51415,490012799W,536651,173108,281,EF13,0
2180,71819,490008612D,536643,172279,230,5F03,0
2181,57077,490008040N,536642,171876,30,5F01,0
21819,76182,490003662S,536642,170781,218,EH07,0
2182,54700,490009484S,536639,172034,202,5F02,0
21820,55453,490006482N,536635,171128,26,EH08,0
21822,51359,490010083N,536633,172807,45,EH11,0
21823,76781,490010083S,536632,172784,225,EH11,0
21826,76500,490014042L,536630,173183,37,EF25,0
2183,49539,490011987A,536629,171648,33,5.00E+04,0
2184,73331,490005921J,536626,171737,210,5.00E+05,0
2185,76808,490006312E,536618,180064,85,Q002,0
2186,50448,490006312W,536616,180063,266,Q003,0
21881,55401,490010828W,536615,176088,270,ED10,0
21882,59111,490010828E,536614,176097,89,ED10,0
2189,77498,490003068N,536614,184068,343,8A01,0
219,77563,490013344P,536613,175668,303,5S05,0
2190,57074,490011375L,536613,183956,234,8A01,0
2191,47324,490011237S,536612,184021,83,8A01,0
2193,58958,490005318C,536611,183256,142,0Q02,0
2194,51017,490008688P,536610,177946,178,NE01,0
2196,50819,490001167X,536609,178095,55,NE01,0
2197,72966,490000139S,536609,180265,291,3602,0
2198,74958,490000139R,536606,180295,102,3602,0
220,75040,490013344Q,536605,175666,123,5S05,0
2216,58011,490011723P,536601,179191,320,3A01,0
22191,52203,490008301N,536594,199421,303,UF04,0
22195,48771,490007791N,536589,159744,332,H135,0
22196,72376,490007791S,536587,159682,152,H135,0
2224,71878,490006052W,536586,178389,307,2002,0
2225,49530,490006052E,536583,178418,127,2002,0
22263,48919,490007784N,536582,190425,32,PL13,0
22265,47813,490009400N,536580,189984,356,PL11,0
22266,49868,490009400S,536578,189910,175,PL11,0
22267,54167,490012804N,536577,189621,7,PL10,0
22268,48775,490012804S,536573,189574,188,PL10,0
22269,76345,490011223N,536572,189182,330,PL09,0
2227,53149,490015333E,536561,178276,130,2003,0
22270,48487,490011223S,536560,189233,161,PL09,0
22293,58816,490006032G,536558,191535,86,PN02,0
22294,50083,490006032H,536558,191521,278,PN02,0
22295,52324,490011565W,536556,191472,247,PN03,0
22298,48062,2.10E+11,536556,191811,57,PN11,0
22301,73313,490009211E,536555,191437,51,PK02,0
22302,56698,490009211W,536554,191414,228,PK02,0
22303,57566,490012071E,536552,191249,33,PK01,0
22304,55959,490012071W,536552,191231,213,PK01,0
22305,58179,490008567E,536552,190762,67,PL03,0
22306,56345,490008567W,536548,190773,247,PL03,0
22311,55660,490004267W,536548,190569,303,PL01,0
2232,51387,490010323D,536547,165087,216,JC16,0
22342,75587,490008983N,536544,177288,4,E114,0
22343,47610,490008983S,536542,177343,183,E114,0
2238,50864,490013480E,536541,184515,73,A905,0
2239,54296,490011696RE,536541,166702,11,JA09,0
22398,53552,490001220D,536540,165898,154,F701,0
2240,58206,490011696RG,536540,166722,188,JA09,0
2242,52193,490015406RK,536540,166481,123,JA02,0
2243,50779,490015406RL,536539,166524,305,JA02,0
2245,50562,490015181L,536539,188433,62,V803,0
22450,48607,490005516S,536539,176793,177,E103,0
2246,73547,490004689W,536537,177218,302,4810,0
2247,53242,490008571E,536536,177336,118,4809,0
2249,76281,490005718W,536534,187955,267,DB08,0
2250,59534,490005718E,536531,187959,82,DB08,0
2253,57982,490001265B,536529,187911,284,DB07,0
2254,56492,490001265A,536529,187943,105,DB07,0
2255,74712,490005339N,536527,187594,306,DC04,0
2256,49927,490005339S,536527,187600,127,DC04,0
2259,77221,490010645N,536525,187327,331,DC03,0
226,57276,490008808SF,536525,180397,80,3201,0
2260,74185,490010645S,536523,187421,134,DC03,0
2261,76297,490006833S,536522,187152,150,DC02,0
2262,57076,490007176N,536520,187176,334,DC02,0
2263,55979,490004900N,536513,186951,352,D906,0
2265,59589,490011710N,536512,186819,324,D905,0
2266,47630,490011710S,536509,186813,144,D905,0
2268,52122,490009195N,536506,185661,332,DG07,0
2269,49964,490009195S,536505,185610,157,DG07,0
227,55354,490008808SE,536503,180388,269,3201,0
2270,71791,490007619U,536503,185349,62,DG05,0
2271,74310,490005341S,536502,185242,216,DG03,0
2272,77678,490010151R,536501,185201,86,DG03,0
2275,73959,490012462N,536500,184350,6,DF05,0
2276,53018,490012462S,536500,184395,176,DF05,0
2277,54672,490003314R,536496,183584,1,DF07,0
2278,52781,490012442S2,536496,183754,186,DF01,0
2280,53163,490010555H,536494,183016,165,BA02,0
2282,51713,490004945S,536494,182249,192,B515,0
2286,73081,490000014B,536491,181936,180,1F02,0
2287,57079,490000014A,536489,181886,351,1F02,0
2288,74406,490008034N,536487,184912,118,WH06,0
2290,59278,490011498P,536486,184938,179,WH03,0
22916,72004,490013317N,536482,157860,355,H708,0
2292,51352,490004144W,536478,182886,246,BB02,0
2293,73837,490004144E,536476,182959,65,BB02,0
2294,51014,490011085E,536474,193716,127,TL11,0
2295,56825,490011085W,536473,193655,318,TL11,0
2296,74349,40004402066B,536473,170232,100,4Z05,0
2297,50709,490006337S,536471,190324,206,TS04,0
2298,49689,490013192N,536470,188669,345,T003,0
2299,50179,490013192S,536468,188501,165,T003,0
2300,51644,490007463S,536465,173579,136,GC01,0
23060,55369,490000246K,536464,184178,224,PE01,0
23061,50390,490000246M,536463,184192,10,PE01,0
23062,75623,490000246L,536462,184169,257,PE01,0
231,73875,490000031T,536461,175360,15,4.00E+01,0
2310,58845,490008781P,536460,194376,37,Y012,0
23105,57457,490006266WN,536459,178378,308,3F06,0
2311,72725,490008781Q,536456,194344,220,Y012,0
23114,51564,490012616S,536452,173968,193,EE14,0
23115,76295,490005044W,536450,173942,258,EE14,0
23116,55066,490001073N,536450,174356,198,EE17,0
23117,55624,490001073P,536449,174389,18,EE17,0
23118,48324,490005728J,536448,174632,104,EE04,0
2314,72462,490001309B,536445,173512,211,5J05,0
2315,54287,490001309A,536441,173462,30,5J05,0
2316,72062,490011858S,536437,178600,193,4402,0
2317,48952,490011858N,536436,178645,13,4402,0
2318,56171,490011192N,536436,178502,12,4403,0
23185,53882,490000172Q,536433,177530,27,4801,0
23186,48040,490005600W,536429,185070,243,VQ16,0
2322,71785,490005678N,536426,177599,8,4722,0
2323,48722,490005678X,536422,177724,201,4725,0
2324,52760,490014679N,536419,177274,18,4721,0
23251,59085,490003975P,536418,175287,48,EC30,0
23253,71403,490010890S,536414,175537,178,EC25,0
23254,48993,490010459S,536411,175825,213,EC24,0
23255,57281,490010890N,536410,175627,359,EC24,0
23256,74021,490014931W,536409,176121,305,EC23,0
23257,58434,490014931S,536406,176053,206,EC23,0
23258,73070,490008116W,536405,176271,310,EB05,0
23259,56620,490008116E,536404,176309,125,EB05,0
23260,77921,490009326W,536404,176447,316,EB04,0
23261,50681,490009326S,536404,176564,204,EB04,0
23262,48603,490008292N,536401,176883,26,E613,0
23263,57445,490008292S,536400,176828,206,E613,0
23264,74165,490009217N,536392,177241,347,E612,0
23265,53462,490009217S,536392,177087,172,E612,0
23266,72452,490010860N2,536389,177552,357,E606,0
23267,55684,490010860N1,536388,177589,172,E606,0
23268,57144,490006206N,536386,177717,308,E605,0
23269,50474,490006206S,536386,177803,198,E605,0
23271,51782,490012593S,536384,178069,219,E524,0
23273,48812,490003247S,536376,178235,210,E523,0
2328,74076,490008969N,536375,176891,28,4904,0
2329,52385,490008969S,536374,176962,204,4904,0
23295,50712,490005117V,536372,164044,264,KB11,0
23296,47625,490001061S,536372,164093,79,KB12,0
23297,55783,490001061T,536372,164080,259,KB12,0
23298,75687,490013267E,536372,164109,118,KB13,0
23299,75107,490013267W,536371,164096,280,KB13,0
233,71414,490000031Q,536367,175307,193,4.00E+01,0
23300,76217,490007177E,536366,164031,103,KB14,0
23341,58804,490000241O,536363,189775,322,9904,0
23354,71219,490011774N,536363,174136,4,EE15,0
23355,72575,490011774S,536363,174183,182,EE16,0
2338,51113,490012940N,536363,176106,49,4K09,0
2339,50531,490001310B,536360,176183,235,4K10,0
23397,47353,490005806E,536359,185801,85,WA04,0
2340,74283,490012162E,536356,175956,53,4K08,0
23405,59234,490005121Z,536354,162578,16,KC07,0
2341,73160,490012162W,536352,176016,235,4K08,0
23410,50791,490015150Y,536351,173494,184,2L03,0
23415,53985,490004196N,536350,193250,27,U608,0
23416,48191,490015165A,536348,167441,3,K702,0
2342,50573,490014058N,536347,175813,65,4K07,0
23435,74557,490007631S,536345,197053,198,TJ11,0
2344,72433,490013681E,536341,175672,72,5602,0
2345,59495,490013681S,536339,175689,252,5602,0
2348,53295,490010524E,536339,175567,76,5601,0
2349,59289,490010524S,536331,175588,255,5601,0
23492,75394,490011898E,536330,161847,72,H102,0
23493,74539,490011898W,536330,161853,253,H102,0
235,50089,490000031E,536329,175451,125,4.00E+04,0
2350,52640,490009008K,536324,175513,74,5711,0
23503,55521,490003488N,536324,166388,48,K911,0
23504,77349,490003488S,536324,166437,233,K911,0
23505,77075,490012262S,536322,166636,185,K910,0
23506,77468,490012262N,536312,166688,354,K910,0
23509,71240,490011006S,536311,167226,186,K817,0
2351,58455,490009007W,536311,175523,259,5713,0
23510,50871,490011006N,536311,167335,7,K817,0
23511,57582,490013545S,536307,167649,217,K816,0
23512,74604,490013545N,536306,167693,39,K816,0
23513,48072,490010893W,536303,167871,292,K815,0
23514,59566,490010893E,536303,167889,111,K815,0
23515,47850,490013260B,536302,167944,91,K814,0
23516,72661,490013260A,536301,167933,272,K814,0
23517,48558,490013530E,536301,167863,69,K813,0
23518,76594,490013530W,536298,167823,249,K813,0
23520,71187,490011509E,536297,167695,66,K812,0
23521,77756,490003932W,536296,167409,247,K810,0
2355,52152,490013908S,536292,176481,221,4902,0
236,49468,490007523D,536290,175758,15,4F01,0
23602,58703,490010578W,536286,175025,281,EE18,0
23603,48845,490014899E,536284,175485,104,ED02,0
23604,51854,490014899W,536278,175500,297,ED02,0
23605,77038,490009596E,536277,175566,94,ED03,0
23606,76783,490009596W,536273,175594,293,ED03,0
23607,76956,490003626E,536271,175655,65,ED04,0
23608,54497,490003626W,536271,175633,245,ED04,0
23609,74861,490015380E,536270,175555,81,ED05,0
23610,53313,490015380W,536269,175560,259,ED05,0
23611,49851,490006620W,536268,175520,254,EC08,0
2365,73274,490009836A,536267,174646,82,5M02,0
2366,51965,490009836W,536265,174630,261,5M02,0
23663,48564,490009171S,536261,176303,225,E118,0
2367,77433,490012985E,536260,174618,93,5M09,0
2368,50440,490012985W,536259,174603,291,5M09,0
2369,47821,490006685E,536257,174104,75,5P16,0
23698,51704,490009585E,536257,175309,8,ED01,0
237,72181,490007523F,536256,175751,195,4F01,0
2370,73172,490009543W,536254,174746,304,5M10,0
2371,59312,490000069EA,536253,174918,116,5M11,0
2372,58355,490000069EB,536252,174863,297,5M11,0
23742,57349,490004175N,536250,180498,350,P304,0
2378,53148,490005855C15,536250,165276,164,HC22,0
23782,51261,490012747F,536250,182257,322,0T03,0
23786,55410,40004410108A,536248,155738,354,ZC02,0
238,71881,490004361H,536247,175699,77,4F03,0
2380,49779,490011188R,536242,180969,98,6107,0
2382,54476,490008473S,536242,179003,177,4503,0
23853,49865,490010680N,536241,167190,52,KA02,0
23874,55327,490008641S,536232,175797,142,EE07,0
2391,77324,490007587N,536227,176547,358,4B02,0
2392,52606,490007587S,536225,176633,181,4B02,0
23927,72538,490000055A,536223,170413,211,L501,0
2393,52215,490014085N,536223,175961,11,4F06,0
2394,47190,490014085S,536223,175970,191,4F07,0
2395,72781,490011793N,536222,174804,18,4.00E+05,0
2396,57288,490011793S,536221,174957,198,4.00E+05,0
2397,56587,490008310N,536221,173664,357,4L02,0
2398,71495,490008310S,536209,173677,177,4L02,0
240,52526,490008919V,536207,175233,246,4.00E+03,0
24008,76209,490009171N,536206,176311,45,E118,0
2403,72297,490008765M,536202,172271,358,4U06,0
2404,49653,490008765L,536201,172299,182,4U06,0
241,77463,490008919U,536199,175248,67,4.00E+03,0
24132,73662,490003662N,536198,170749,42,EH07,0
24133,74400,4.90E+10,536197,170582,103,EH12,0
24134,52899,490015422W,536197,170625,292,EH06,0
24135,51990,490013817W,536196,164310,279,FD12,0
2416,74407,490013535S,536195,172032,235,K510,0
2417,48598,490013535N,536195,172053,55,K510,0
2418,72307,490014495W,536194,179412,8,0K12,0
24180,71115,490000036N,536191,184025,56,8H02,0
2419,53680,490014495X,536190,179439,188,0K12,0
2420,59541,490009881E,536188,178989,93,0K06,0
2421,71662,490009881W,536187,178978,274,0K06,0
2424,55131,490005181N,536186,193436,354,Y205,0
2425,55710,490005181S,536186,193510,182,Y205,0
2428,72319,490011127S,536185,187092,176,D807,0
24280,77787,490012589S,536185,187349,124,RA10,0
2429,51804,490011127N,536185,187149,356,D807,0
24294,49951,490015059E,536185,179910,102,6602,0
2430,48636,490009364S,536182,186784,157,D701,0
2431,49896,490004519N,536181,186660,344,D701,0
24330,57482,490014573T,536178,191688,324,SD11,0
24335,56878,490006425HA,536177,191005,140,SE09,0
24339,59324,490014170S,536176,191268,179,Y806,0
2434,75059,490008766S,536176,186246,158,C801,0
2435,47722,490008766N,536173,186423,359,D702,0
2436,72493,490012836S,536173,185952,176,C802,0
2437,77749,490012836N,536171,186099,343,C802,0
2438,72647,490004600S,536170,185733,153,C803,0
2439,71458,490004600N,536170,185777,333,C803,0
2440,47520,490003114S,536168,185552,153,CA01,0
24404,50118,490001209A,536165,169871,155,HN01,0
2441,74674,490009055N,536163,185604,332,CA01,0
2442,72317,490015396S,536161,185372,191,CA03,0
2443,49436,490009872N,536160,185197,349,CA05,0
2444,71770,490009869S,536154,185119,169,CA05,0
24458,53708,490008919X,536153,175119,18,4.00E+02,0
2446,54347,490003367S,536151,184552,191,CE06,0
2448,72183,490006169N1,536149,183951,11,CE02,0
24483,55360,490010781N,536149,167518,16,K811,0
2449,54744,490006169S1,536149,184114,192,CE03,0
2450,55561,490003601W,536146,183659,231,CE01,0
2452,71167,490006289S,536145,183465,154,D204,0
2455,47232,490010126N,536142,182961,34,D202,0
2456,58302,490003960S,536142,182953,215,D202,0
2460,71579,490006612E,536141,182148,170,C604,0
2462,47791,490015209K,536137,181864,200,C601,0
2463,73861,490015209D,536134,181991,6,C602,0
24637,72160,490010734E,536133,170761,137,EH05,0
24647,47401,490000223B,536130,176662,170,4A06,0
24648,50716,490010204K,536129,176844,263,2206,0
